cve_id,vulnerability_type,severity,cvss_score,affected_component,attack_vector,complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,base_score,temporal_score,environmental_score,description_length,vendor,product_category,discovery_date
CVE-2024-0001,XSS,HIGH,7.5,web_application,network,low,none,required,changed,high,low,none,7.5,7.2,6.8,245,vendor_a,cms,2024-01-15
CVE-2024-0002,SQL_INJECTION,CRITICAL,9.8,database_interface,network,low,none,none,unchanged,high,high,high,9.8,9.5,9.2,312,vendor_b,ecommerce,2024-01-18
CVE-2024-0003,CSRF,MEDIUM,6.1,web_application,network,low,none,required,unchanged,none,high,none,6.1,5.8,5.5,189,vendor_c,forum,2024-01-22
CVE-2024-0004,RCE,CRITICAL,9.9,web_server,network,low,none,none,changed,high,high,high,9.9,9.6,9.3,278,vendor_d,web_server,2024-01-25
CVE-2024-0005,LFI,HIGH,7.2,file_handler,network,low,low,none,unchanged,high,none,none,7.2,6.9,6.6,156,vendor_e,cms,2024-01-28
CVE-2024-0006,XSS,MEDIUM,5.4,input_validation,network,low,none,required,changed,low,low,none,5.4,5.1,4.8,198,vendor_f,blog,2024-02-01
CVE-2024-0007,SSRF,HIGH,8.1,request_handler,network,low,none,none,changed,high,low,low,8.1,7.8,7.5,234,vendor_g,api_gateway,2024-02-05
CVE-2024-0008,DIRECTORY_TRAVERSAL,MEDIUM,6.5,file_system,network,low,low,none,unchanged,high,none,none,6.5,6.2,5.9,167,vendor_h,file_manager,2024-02-08
CVE-2024-0009,AUTHENTICATION_BYPASS,HIGH,8.8,auth_module,network,low,none,none,unchanged,high,high,high,8.8,8.5,8.2,289,vendor_i,crm,2024-02-12
CVE-2024-0010,BUFFER_OVERFLOW,CRITICAL,9.3,memory_handler,local,low,none,none,unchanged,high,high,high,9.3,9.0,8.7,201,vendor_j,media_player,2024-02-15
CVE-2024-0011,XSS,LOW,3.5,comment_system,network,low,none,required,unchanged,low,none,none,3.5,3.2,2.9,123,vendor_k,social_media,2024-02-18
CVE-2024-0012,PRIVILEGE_ESCALATION,HIGH,7.8,user_management,local,low,low,none,unchanged,high,high,high,7.8,7.5,7.2,256,vendor_l,os,2024-02-22
CVE-2024-0013,DESERIALIZATION,CRITICAL,9.1,object_handler,network,low,none,none,unchanged,high,high,high,9.1,8.8,8.5,298,vendor_m,framework,2024-02-25
CVE-2024-0014,WEAK_CRYPTO,MEDIUM,5.9,encryption_module,network,high,none,none,unchanged,high,none,none,5.9,5.6,5.3,178,vendor_n,vpn,2024-02-28
CVE-2024-0015,SESSION_FIXATION,MEDIUM,6.3,session_manager,network,low,none,required,unchanged,low,high,none,6.3,6.0,5.7,145,vendor_o,portal,2024-03-03
CVE-2024-0016,XXE,HIGH,7.6,xml_parser,network,low,none,none,unchanged,high,low,low,7.6,7.3,7.0,223,vendor_p,api,2024-03-06
CVE-2024-0017,COMMAND_INJECTION,CRITICAL,9.7,command_processor,network,low,none,none,changed,high,high,high,9.7,9.4,9.1,267,vendor_q,admin_panel,2024-03-10
CVE-2024-0018,INFORMATION_DISCLOSURE,MEDIUM,5.3,error_handler,network,low,none,none,unchanged,low,none,none,5.3,5.0,4.7,134,vendor_r,debug_tool,2024-03-13
CVE-2024-0019,RACE_CONDITION,HIGH,7.1,concurrency_handler,local,high,low,none,unchanged,none,high,high,7.1,6.8,6.5,189,vendor_s,database,2024-03-17
CVE-2024-0020,CLICKJACKING,LOW,4.3,ui_framework,network,low,none,required,unchanged,none,low,none,4.3,4.0,3.7,112,vendor_t,widget,2024-03-20
CVE-2024-0021,SQL_INJECTION,HIGH,8.2,query_builder,network,low,low,none,unchanged,high,high,low,8.2,7.9,7.6,245,vendor_u,orm,2024-03-24
CVE-2024-0022,XSS,MEDIUM,6.1,template_engine,network,low,none,required,changed,low,low,none,6.1,5.8,5.5,167,vendor_v,template,2024-03-27
CVE-2024-0023,CSRF,HIGH,7.5,form_handler,network,low,none,required,unchanged,none,high,high,7.5,7.2,6.9,198,vendor_w,form_builder,2024-03-31
CVE-2024-0024,RCE,CRITICAL,9.8,code_executor,network,low,none,none,changed,high,high,high,9.8,9.5,9.2,289,vendor_x,ide,2024-04-03
CVE-2024-0025,PATH_TRAVERSAL,MEDIUM,6.8,file_upload,network,low,low,none,unchanged,high,low,none,6.8,6.5,6.2,156,vendor_y,upload_service,2024-04-07
CVE-2024-0026,LDAP_INJECTION,HIGH,8.5,ldap_connector,network,low,none,none,unchanged,high,high,low,8.5,8.2,7.9,234,vendor_z,directory,2024-04-10
CVE-2024-0027,WEAK_AUTHENTICATION,MEDIUM,5.7,login_system,network,low,none,none,unchanged,low,low,low,5.7,5.4,5.1,145,vendor_aa,auth_service,2024-04-14
CVE-2024-0028,INSECURE_REDIRECT,LOW,4.7,redirect_handler,network,low,none,required,unchanged,none,low,none,4.7,4.4,4.1,123,vendor_bb,url_shortener,2024-04-17
CVE-2024-0029,MEMORY_LEAK,MEDIUM,6.2,memory_manager,local,low,none,none,unchanged,none,none,high,6.2,5.9,5.6,178,vendor_cc,runtime,2024-04-21
CVE-2024-0030,TIMING_ATTACK,LOW,3.9,crypto_compare,network,high,none,none,unchanged,low,none,none,3.9,3.6,3.3,134,vendor_dd,crypto_lib,2024-04-24

